targetMolecule,queryUsed,matchedTerm,detectionMethod,noticeId,tenderRef,title,buyer,publicationDate,noticeType,status,lifecycleStage,estimatedValue,currency,noticeUrl,documentUrls,proposedDecision,decisionReason,language,possibleDuplicateOf
Lenalidomide,buyer+name:Sykehusinnkjøp,Lenalidomide,name_in_notice,335362-2021,LIS2234B,LIS 2234b Lenalidomide,Sykehusinnkjøp HF,2021-07-02,3,,competition,320000000.0,NOK,https://ted.europa.eu/en/notice/-/detail/335362-2021,https://www.mercell.com/m/file/GetFile.ashx?id=159475531&version=0,login_wall,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference; Mercell document URLs require login,en,
Lenalidomide,buyer+name:Sykehusinnkjøp,Lenalidomide,name_in_notice,300984-2021,LIS2234,LIS 2234 Lenalidomide,Sykehusinnkjøp HF,2021-06-15,3,,competition,320000000.0,NOK,https://ted.europa.eu/en/notice/-/detail/300984-2021,https://www.mercell.com/m/file/GetFile.ashx?id=158259205&version=0;https://www.mercell.com/m/file/GetFile.ashx?id=158259201&version=0;https://www.mercell.com/m/file/GetFile.ashx?id=158259190&version=0,login_wall,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference; Mercell document URLs require login,en,
Lenalidomide,buyer+name:Sykehusinnkjøp,Lenalidomid,name_in_notice,147880-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-03-24,0,,prior_information,320000000.0,NOK,https://ted.europa.eu/en/notice/-/detail/147880-2021,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,335380-2021
Lenalidomide,buyer+name:Sykehusinnkjøp,Lenalidomid,name_in_notice,48506-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-01-29,0,,prior_information,320000000.0,NOK,https://ted.europa.eu/en/notice/-/detail/48506-2021,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,335380-2021
Anagrelide,name:anagrelide,anagrelid,name_in_notice,244859-2024,LIS,Norway – Pharmaceutical products – 2507gj-1 anagrelid,SYKEHUSINNKJØP HF,2024-04-24,cn-standard,open,competition,10000000.0,NOK,https://ted.europa.eu/en/notice/-/detail/244859-2024,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,404973-2025
Anagrelide,name:anagrelid,anagrelid,name_in_notice,244859-2024,LIS,Norway – Pharmaceutical products – 2507gj-1 anagrelid,SYKEHUSINNKJØP HF,2024-04-24,cn-standard,open,competition,10000000.0,NOK,https://ted.europa.eu/en/notice/-/detail/244859-2024,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,404973-2025
Anagrelide,buyer+name:Sykehusinnkjøp HF,anagrelid,name_in_notice,244859-2024,LIS,Norway – Pharmaceutical products – 2507gj-1 anagrelid,SYKEHUSINNKJØP HF,2024-04-24,cn-standard,open,competition,10000000.0,NOK,https://ted.europa.eu/en/notice/-/detail/244859-2024,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,404973-2025
Anagrelide,buyer+name:Sykehusinnkjøp,anagrelid,name_in_notice,244859-2024,LIS,Norway – Pharmaceutical products – 2507gj-1 anagrelid,SYKEHUSINNKJØP HF,2024-04-24,cn-standard,open,competition,10000000.0,NOK,https://ted.europa.eu/en/notice/-/detail/244859-2024,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,404973-2025
Paliperidone,name:paliperidone,paliperidone,name_in_notice,434619-2026,LIS,"Norway – Medical equipments, pharmaceuticals and personal care products – 2601c paliperidone",SYKEHUSINNKJØP HF,2026-06-25,cn-standard,open,competition,,NOK,https://ted.europa.eu/en/notice/-/detail/434619-2026,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,404973-2025
Paliperidone,name:paliperidone,Paliperidon,name_in_notice,682047-2022,LIS,"Voluntary ex-ante transparency notice - Supplementary contracts for LIS 2301d ureg, ATC codes J05AF01, N05AX13, N05CD08, P01CX04, S01AX18, S01EE09 and V03AB13",SYKEHUSINNKJØP HF,2022-12-08,V,,V,14671946.0,NOK,https://ted.europa.eu/en/notice/-/detail/682047-2022,,accepted,Pharmaceutical evidence with Sykehusinnkjøp or LIS tender reference,en,404973-2025
